"Station","Temp C","Day Of Year"
"ST-001",5.02,249
"ST-005",8.37,102
"ST-006",21.5,103
"ST-003",9.68,365
"ST-001",18.63,42
"ST-002",9.67,291
"ST-005",-0.61,88
"ST-006",5.21,57
"ST-001",3.29,49
"ST-005",8.13,81
"ST-006",9.31,138
"ST-005",10.77,106
"ST-001",10.05,192
"ST-002",27.14,141
"ST-003",0.91,360
"ST-002",8.68,91
"ST-002",14.79,116
"ST-001",25.03,165
"ST-003",12.71,337
"ST-001",21.91,121
"ST-005",-1.16,137
"ST-001",23.57,141
"ST-003",6.48,353
"ST-001",9.79,1
"ST-006",3.12,38
"ST-006",13.07,211
"ST-006",26.28,109
"ST-003",31.38,275
"ST-006",3.39,37
"ST-005",15.89,63
"ST-001",23.11,283
"ST-006",10.43,22
"ST-001",10.25,77
"ST-002",9.56,14
"ST-002",16.78,110
"ST-006",23.18,54
"ST-006",17.5,52
"ST-006",14.56,300
"ST-006",9.59,148
"ST-006",15.99,8
"ST-004",7.6,235
"ST-004",9.77,130
"ST-002",20.77,142
"ST-002",15.54,202
"ST-004",13.93,181
"ST-006",9.96,234
"ST-004",19.45,323
"ST-002",22.68,312
"ST-001",5.05,253
"ST-001",12.44,192
"ST-002",12.39,94
"ST-002",7.37,202
"ST-001",4.01,47
"ST-004",11.98,12
"ST-003",17.24,18
"ST-005",23.81,43
"ST-006",-3.27,125
"ST-006",6.38,328
"ST-002",9.51,41
"ST-004",-1.31,264
"ST-002",6,227
"ST-003",5.78,10
"ST-002",6.22,330
"ST-001",-5.51,203
"ST-004",13.71,106
"ST-006",6.94,176
"ST-005",24.16,148
"ST-002",18.37,223
"ST-001",0.37,89
"ST-001",12.79,202
"ST-005",7.25,118
"ST-003",19.11,115
"ST-006",12.42,32
"ST-006",7.54,100
"ST-004",15.51,48
"ST-002",13.22,79
"ST-001",10.68,215
"ST-005",28.16,345
"ST-003",7.76,11
"ST-006",8.23,339
"ST-002",-0.37,234
"ST-005",11.68,226
"ST-003",19.12,19
"ST-004",-4.57,63
"ST-002",10,107
"ST-001",2.55,308
"ST-003",23.54,127
"ST-003",22.86,315
"ST-006",14.68,235
"ST-004",23.43,298
"ST-004",5.06,192
"ST-004",19.61,109
"ST-003",7.32,17
"ST-001",14.57,55
"ST-001",9.6,110
"ST-001",9.77,248
"ST-006",16.37,92
"ST-005",1.57,150
"ST-006",9.99,250
"ST-004",13.37,191
"ST-001",8.77,69
"ST-005",12.84,216
"ST-004",9.45,204
"ST-001",24.95,282
"ST-001",17.71,358
"ST-001",35.73,348
"ST-004",5.64,151
"ST-002",18.51,109
"ST-003",28.78,297
"ST-005",14.41,334
"ST-005",3.34,12
"ST-004",3.95,146
"ST-001",11.72,7
"ST-006",22.47,272
"ST-003",18,6
"ST-004",-5.11,147
"ST-005",6.4,242
"ST-006",11.93,322
"ST-002",0.33,328
"ST-001",17.56,280
"ST-001",-7.69,277
"ST-001",13.15,175
"ST-003",8.87,284
"ST-002",8.07,50
"ST-005",9.73,302
"ST-004",14.52,345
"ST-004",15.17,126
"ST-005",10.2,6
"ST-001",-3.4,164
"ST-004",0.49,21
"ST-001",0.24,189
"ST-006",18.09,1
"ST-001",10.05,257
"ST-005",14.16,15
"ST-006",-0.47,218
"ST-003",7.72,155
"ST-001",16.5,121
"ST-006",10.57,315
"ST-002",11.08,350
"ST-006",11.42,331
"ST-006",21.69,33
"ST-004",7.08,233
"ST-006",17.41,190
"ST-002",19.19,358
"ST-005",2.49,229
"ST-005",12.97,198
"ST-003",11.91,56
"ST-005",20.23,364
"ST-002",19.32,170
"ST-001",11.98,8
"ST-006",13.09,316
"ST-001",6.24,168
"ST-006",10.42,167
"ST-001",3.77,303
"ST-003",4.26,11
"ST-004",2.23,234
"ST-002",18.69,307
"ST-002",20.92,178
"ST-002",8.7,143
"ST-002",2.97,239
"ST-004",11.3,83
"ST-004",29.94,87
"ST-005",28.33,119
"ST-001",-1.76,25
"ST-003",9.14,3
"ST-006",24.27,348
"ST-005",11.69,272
"ST-006",24.78,277
"ST-004",9.33,237
"ST-002",16.84,27
"ST-002",13.79,159
"ST-001",37.83,242
"ST-003",19.36,314
"ST-004",2.35,201
"ST-006",7.17,107
"ST-002",14.96,229
"ST-001",-3.21,91
"ST-002",-2.44,163
"ST-003",3.03,325
"ST-001",9.22,28
"ST-003",21.91,203
"ST-003",9.81,46
"ST-004",13.3,165
"ST-005",11.48,294
"ST-004",6.36,132
"ST-002",22.9,344
"ST-006",3.23,58
"ST-001",10.17,140
"ST-006",9.22,28
"ST-003",16.26,237
"ST-001",24.86,63
"ST-006",16.11,249
"ST-003",23.06,112
"ST-005",18.1,36
"ST-004",7,130
"ST-005",12.65,125
"ST-006",23.01,12
"ST-001",-0.49,173
"ST-002",14.6,257
"ST-002",10.75,188
"ST-006",19.02,303
"ST-004",18,76
"ST-005",14.41,112
"ST-003",23.94,351
"ST-002",-0.2,241
"ST-001",19.29,305
"ST-001",-0.64,257
"ST-005",16.7,189
"ST-002",12.72,241
"ST-003",19.74,202
"ST-002",12.63,31
"ST-003",-0.55,323
"ST-006",-4.06,209
"ST-003",16.33,4
"ST-004",11.41,75
"ST-005",7.43,295
"ST-006",9.51,74
"ST-004",6.63,80
"ST-005",10.74,199
"ST-004",4.55,35
"ST-003",-3.86,252
"ST-002",10.24,242
"ST-001",20.36,277
"ST-003",27.02,61
"ST-006",12.02,218
"ST-004",11.35,285
"ST-001",19.7,363
"ST-005",12.43,293
"ST-004",8.52,205
"ST-005",-1.9,68
"ST-006",1.89,175
"ST-006",15.25,8
"ST-004",0.32,227
"ST-005",20.39,119
"ST-004",1.23,320
"ST-005",10.45,329
"ST-002",11.98,247
"ST-005",11.9,138
"ST-002",13.22,39
"ST-006",16.79,273
"ST-006",10.99,148
"ST-002",10.01,340
"ST-004",13.28,140
"ST-003",8.53,148
"ST-001",24.3,284
"ST-005",-5.36,355
"ST-004",20.22,318
"ST-003",10.01,114
"ST-001",15.38,3
"ST-006",19.9,303
"ST-002",18.68,140
"ST-003",6.72,291
"ST-004",24.51,223
"ST-002",-0.98,358
"ST-001",18.91,266
"ST-004",7.91,90
"ST-002",-3.34,63
"ST-001",-2.93,351
"ST-003",13.96,102
"ST-006",29.79,65
"ST-003",14.19,42
"ST-006",21.05,314
"ST-005",18.71,190
"ST-004",6.76,13
"ST-002",19.63,325
"ST-002",14.82,304
"ST-001",13.65,270
"ST-002",20.01,347
"ST-003",17.98,288
"ST-006",6.99,1
"ST-001",15.16,32
"ST-006",4.86,171
"ST-002",17.05,334
"ST-005",8.54,225
"ST-005",15.62,340
"ST-002",14.94,131
"ST-003",9.84,259
"ST-003",15.72,59
"ST-002",16.59,113
"ST-002",10.15,51
"ST-002",21.38,279
"ST-004",23.14,310
"ST-001",6.7,302
"ST-002",5.78,326
"ST-005",16.11,6
"ST-001",4.69,305
"ST-006",8.4,8
"ST-004",18.42,9
"ST-006",7.41,231
"ST-003",-3.43,36
"ST-004",17.32,314
"ST-003",-0.82,263
"ST-006",1.16,285
"ST-004",-12.14,207
"ST-001",18.65,222
"ST-006",14.01,127
